DICIONÁRIO DE VARIÁVEIS - ENEM 2022;;;;;
;;;;;
NOME DA VARIÁVEL;Descrição;Variáveis Categóricas;;Tamanho ;Tipo
;;Categoria;Descrição;;
DADOS DO PARTICIPANTE;;;;;
NU_INSCRICAO;Número de inscrição1 ;;;12;Numérica
NU_ANO;Ano do Enem;;;4;Numérica
TP_FAIXA_ETARIA;Faixa etária2;1;Menor de 17 anos;2;Numérica
;;2;17 anos;;
;;3;18 anos;;
;;4;19 anos;;
;;5;20 anos;;
;;6;21 anos;;
;;7;22 anos;;
;;8;23 anos;;
;;9;24 anos;;
;;10;25 anos;;
;;11;Entre 26 e 30 anos;;
;;12;Entre 31 e 35 anos;;
;;13;Entre 36 e 40 anos;;
;;14;Entre 41 e 45 anos;;
;;15;Entre 46 e 50 anos;;
;;16;Entre 51 e 55 anos;;
;;17;Entre 56 e 60 anos;;
;;18;Entre 61 e 65 anos;;
;;19;Entre 66 e 70 anos;;
;;20;Maior de 70 anos;;
TP_SEXO;Sexo;M;Masculino;1;Alfanumérica
;;F;Feminino ;;
TP_ESTADO_CIVIL;Estado Civil;0;Não informado;1;Numérica
;;1;Solteiro(a);;
;;2;Casado(a)/Mora com companheiro(a);;
;;3;Divorciado(a)/Desquitado(a)/Separado(a);;
;;4;Viúvo(a);;
TP_COR_RACA;Cor/raça;0;Não declarado;1;Numérica
;;1;Branca;;
;;2;Preta;;
;;3;Parda;;
;;4;Amarela;;
;;5;Indígena ;;
;;6;Não dispõe da informação;;
TP_NACIONALIDADE;Nacionalidade;0;Não informado;1;Numérica
;;1;Brasileiro(a);;
;;2;Brasileiro(a) Naturalizado(a);;
;;3;Estrangeiro(a);;
;;4;Brasileiro(a) Nato(a), nascido(a) no exterior;;
TP_ST_CONCLUSAO;Situação de conclusão do Ensino Médio;1;Já concluí o Ensino Médio;1;Numérica
;;2;Estou cursando e concluirei o Ensino Médio em 2022;;
;;3;Estou cursando e concluirei o Ensino Médio após 2022;;
;;4;Não concluí e não estou cursando o Ensino Médio;;
TP_ANO_CONCLUIU;Ano de Conclusão do Ensino Médio;0;Não informado;1;Numérica
;;1;2021;;
;;2;2020;;
;;3;2019;;
;;4;2018;;
;;5;2017;;
;;6;2016;;
;;7;2015;;
;;8;2014;;
;;9;2013;;
;;10;2012;;
;;11;2011;;
;;12;2010;;
;;13;2009;;
;;14;2008;;
;;15;2007;;
;;16;Antes de 2007;;
TP_ESCOLA;Tipo de escola do Ensino Médio;1;Não Respondeu;1;Numérica
;;2;Pública;;
;;3;Privada;;
TP_ENSINO;Tipo de instituição que concluiu ou concluirá o Ensino Médio ;1;Ensino Regular;1;Numérica
;;2;Educação Especial - Modalidade Substitutiva;;
IN_TREINEIRO;Indica se o inscrito fez a prova com intuito de apenas treinar seus conhecimentos3;1;Sim;1;Numérica
;;0;Não;;
DADOS DA ESCOLA;;;;;
"CO_MUNICIPIO_ESC
";Código do município da escola ;;;7;Numérica
;1º dígito: Região;;;;
;1º e 2º dígitos: UF;;;;
;3º, 4º, 5º e 6º dígitos: Município;;;;
;7º dígito: dígito verificador;;;;
NO_MUNICIPIO_ESC;Nome do município da escola;;;150;Alfanumérica
CO_UF_ESC;Código da Unidade da Federação da escola;;;2;Numérica
SG_UF_ESC;Sigla da Unidade da Federação da escola;;;2;Alfanumérica
TP_DEPENDENCIA_ADM_ESC;Dependência administrativa (Escola);1;Federal;1;Numérica
;;2;Estadual;;
;;3;Municipal;;
;;4;Privada;;
TP_LOCALIZACAO_ESC;Localização (Escola);1;Urbana;1;Numérica
;;2;Rural;;
TP_SIT_FUNC_ESC;Situação de funcionamento (Escola);1;Em atividade;1;Numérica
;;2;Paralisada;;
;;3;Extinta;;
;;4;Escola extinta em anos anteriores.;;
DADOS DO LOCAL DE APLICAÇÃO DA PROVA;;;;;
CO_MUNICIPIO_PROVA;Código do município da aplicação da prova;;;7;Numérica
;1º dígito: Região;;;;
;1º e 2º dígitos: UF;;;;
;3º, 4º, 5º e 6º dígitos: Município;;;;
;7º dígito: dígito verificador;;;;
NO_MUNICIPIO_PROVA;Nome do município da aplicação da prova;;;150;Alfanumérica
CO_UF_PROVA;Código da Unidade da Federação da aplicação da prova;;;2;Alfanumérica
SG_UF_PROVA;Sigla da Unidade da Federação da aplicação da prova;;;2;Alfanumérica
DADOS DA PROVA OBJETIVA;;;;;
TP_PRESENCA_CN;Presença na prova objetiva de Ciências da Natureza;0;Faltou à prova;1;Numérica
;;1;Presente na prova;;
;;2;Eliminado na prova;;
TP_PRESENCA_CH;Presença na prova objetiva de Ciências Humanas;0;Faltou à prova;1;Numérica
;;1;Presente na prova;;
;;2;Eliminado na prova;;
TP_PRESENCA_LC;Presença na prova objetiva de Linguagens e Códigos;0;Faltou à prova;1;Numérica
